vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AO	1	FORTY	593.4	1120.6	2235.6	102.1	99.9	293.9	201.468	201.451	201.501	0.05	64	6	4	2	1	4			582.8	1118.1	593.4	1120.6	615.2	1139.6	627.8	1190.6	630.1	1228.5	6		627	1151	2213	54.60011	1	forty	201.4811
AE	1	AND	759.6	2438.4	3025.1	168.3	102.6	305.0	202.735	202.642	202.922	0.28	3	4	4	2	0	3			714.1	2512.9	774.9	2418.4	875.8	2150.7	886.8	1947.0	866.8	1928.1	5		726	2482	3030	3.44203	1	and	202.7118
OW	1	GOES	602.8	1332.4	2452.4	122.8	334.0	686.6	203.671	203.661	203.712	0.051	62	3	4	2	6	0			602.8	1332.4	608.2	1329.1	605.9	1314.2	576.9	1294.4	559.3	1314.5	6		608	1321	2351	62.0026	1	goes	203.6905
AA	1	COLLEGE	897.0	1782.3	2198.0	119.7	222.1	1866.0	203.895	203.851	203.982	0.131	5	5	4	2	6	1			891.1	1824.8	897.5	1781.6	921.3	1755.5	938.8	1707.1	928.3	1666.8	5		944	1692	2853	5.54201	1	college	203.9554
AO	1	LACROSSE	850.8	1533.0	2145.2	85.0	283.1	1063.3	206.863	206.846	206.896	0.05	53	3	4	1	8	0			853.0	1532.3	850.8	1533.0	844.7	1542.7	831.1	1552.5	821.3	1564.9	6		899	1659	2600	53.3428	1	(la)crosse	206.8586
AH	1	BUNCH	857.4	1468.1	2818.8	160.9	259.5	214.1	211.137	211.117	211.177	0.06	6	4	4	2	1	3			836.5	1408.0	859.7	1476.5	869.4	1556.8	865.7	1642.4	841.1	1724.7	4		875	1593	2756	6.2511	1	bunch	211.1534
AY	1	TIMES	918.9	2061.1	3043.6	164.7	88.0	389.2	211.431	211.376	211.486	0.11	41	4	1	2	3	3		m	901.7	1942.0	910.2	1962.8	918.9	2061.1	908.0	2136.9	867.2	2142.7	4		908	1959	3003	41.4123	1	times	211.4155
AE	1	ACTUALLY	664.0	1909.3	2963.5	134.1	191.2	204.1	211.623	211.586	211.697	0.111	3	1	6	1	0	4			635.1	1845.9	670.2	1919.0	739.3	1965.8	769.4	2000.9	743.7	2028.5	4		760	1953	2873	3.16105	1	actually	211.6491
AH	1	UNCLE	910.7	1397.8	1923.0	123.4	87.4	721.1	212.695	212.672	212.742	0.07	6	4	6	2	0	4			921.0	1393.7	907.5	1402.3	894.2	1443.7	875.3	1506.6	865.8	1558.4	6		1006	1424	3090	6.44204	1	uncle	212.6876
AE	1	AUNT	825.4	2322.6	3010.9	76.5	128.6	815.9	213.065	213.012	213.171	0.159	33	4	4	2	0	3			807.6	2484.5	827.8	2297.2	845.7	2098.0	884.0	1981.0	903.9	1928.6	5		815	2561	3120	3.44203	1	aunt	213.0323
AW	1	ABOUT	801.9	1511.8	2615.2	71.6	154.6	324.3	213.899	213.871	214.081	0.21	42	1	4	1	1	0			832.8	1535.3	835.7	1488.2	801.5	1396.5	744.2	1267.9	668.8	1074.6	5		859	1538	2718	42.1411	1	(a)bout	213.9312
AY	1	TIMES	864.8	2037.6	3071.2	110.1	204.1	350.2	215.09	215.084	215.173	0.089	41	4	1	2	3	3		s	862.0	2034.3	849.1	2063.9	838.2	2147.1	824.2	2220.0	811.8	2218.3	5		853	2071	3010	41.4123	1	times	215.115
AO	1	SMALLER	893.6	1326.0	3102.1	171.0	123.5	1144.2	216.215	216.191	216.262	0.071	53	5	4	2	2	1			865.3	1300.3	895.5	1328.7	907.0	1350.4	906.7	1362.5	894.2	1355.9	5		894	1357	3414	53.54201	1	smaller	216.2432
AY	1	SIGHTSEE	754.1	1879.0	2937.9	112.9	153.9	288.9	217.357	217.326	217.426	0.1	47	1	4	1	3	4			739.7	1733.2	750.1	1938.2	674.8	2155.4	624.2	2292.7	676.9	2387.4	5		786	1976	2991	47.14134	1	sightsee	217.3614
IY	1	SIGHTSEE	579.7	2537.5	3148.7	392.5	330.5	479.1	217.612	217.565	217.705	0.14	12	0	0	0	3	0			611.8	2333.2	591.9	2549.4	679.2	2641.2	696.5	2640.3	674.7	2615.1	4		638	2405	3005	12.0003	1	(sight)see	217.595
OW	1	NO	856.3	1784.0	2150.4	88.1	194.0	1236.5	225.088	225.075	225.196	0.121	63	0	0	0	4	0			875.5	1708.7	875.2	1573.4	869.2	1506.7	858.8	1454.9	847.2	1401.1	6		907	1698	3024	62.0004	1	no	225.1093
AA	1	CHICAGO	959.0	1784.7	2687.2	120.6	143.6	174.4	225.428	225.405	225.475	0.07	43	1	6	2	6	1			963.0	1748.0	954.8	1793.3	913.8	1828.3	839.0	1846.5	751.4	1841.3	5		970	1741	2692	43.16201	1	(Chi)cago	225.4169
