vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
EY	1	AID	486.4	1977.9	2696.4	125.7	482.4	863.3	121.018	121.006	121.186	0.18	21	1	4	2	0	0			458.1	2244.9	426.4	2382.2	416.9	2458.5	414.5	2296.7	410.3	2304.1	4	480	2415	2783	21.142	1	aid	121.0577
OW	1	PROGRAMS	543.9	988.6	2221.9	190.8	74.8	436.9	122.17	122.163	122.263	0.1	62	1	6	2	8	1			510.7	960.8	466.4	921.6	476.5	845.9	529.0	783.0	480.9	1148.9	5	567	1003	2171	62.16284	1	programs	122.1745
OY	1	POINT	673.5	1021.9	2557.6	518.9	117.7	709.4	123.64	123.603	123.714	0.111	61	4	4	2	1	3			701.6	894.4	681.1	1042.7	777.1	1262.8	760.0	1537.2	650.8	1739.6	5	854	1004	2455	61.44213	1	point	123.6331
AE	1	DAD	500.0	2577.1		222.5	106.4		124.094	124.044	124.194	0.15	3	1	4	2	3	0			461.7	2581.1	503.0	2578.7	526.9	2555.3	534.8	2522.4	545.2	2412.6	3	478	2535	3034	3.1423	1	dad	124.0834
AY	1	ARTHRITIS	744.6	1663.6	3665.7	146.9	176.6	1094.8	125.187	125.103	125.343	0.24	47	1	4	1	8	1			690.3	1441.1	744.6	1663.6	729.1	1821.8	646.2	1918.6	512.3	1823.9	4	733	1701	1884	47.14171	1	(arth)ritis	125.2167
AE	1	HAD	533.9	2427.3		146.5	133.1		125.894	125.864	125.954	0.09	3	1	4	2	0	0			495.8	2508.7	536.6	2420.3	562.4	2357.9	558.3	2303.0	536.1	2229.8	3	457	2509	2736	3.142	1	had	125.8666
AY	2	PARTTIME	815.0	1804.0	2523.0	197.1	239.1	382.8	127.572	127.571	127.641	0.07	41	4	1	2	3	0		s	659.7	1503.2	529.8	1231.8	606.9	1408.0	772.7	1836.6	650.9	1663.2	6	828	1806	2498	41.4123	1	(part)time	127.5947
AE	1	FAMILY	532.6	2487.6	2662.2	221.7	518.7	332.0	130.211	130.174	130.284	0.11	39	4	1	2	1	1			521.2	2161.9	528.7	2482.1	452.3	1956.9	467.8	2263.8	471.2	2408.0	5	544	2477	2719	3.41212	1	family	130.2078
IH	1	FINISHED	555.8	2114.8	2798.1	135.4	254.4	202.1	134.417	134.397	134.457	0.06	1	4	4	2	1	1			534.4	2091.5	558.3	2118.4	584.2	2135.9	610.2	2138.4	620.8	2113.1	5	612	2141	2879	1.44212	1	finished	134.4355
AY	1	HIGHSCHOOL	882.7	1617.2	2494.2	363.6	301.3	243.6	134.768	134.776	134.916	0.14	47	3	4	1	0	4		m	847.9	1130.7	778.0	1008.9	643.2	899.8	518.7	897.6	446.4	950.5	6	905	1771	2608	47.34201	1	highschool	134.7958
